Order_ID,Order_Date,Customer_ID,Customer_Name,Product_ID,Product_Name,Category,Region,Quantity_Sold,Unit_Price,Revenue,Cost,Profit,Current_Stock,Inventory_Status,Customer_Rating,Payment_Mode,Salesperson
ORD0001,2025-01-26,C087,Ekalinga Bhagat,P013,Cake,Bakery,South,5,350,1750,1231.42,518.58,218,In Stock,4.4,Cash,Priya
ORD0002,2025-06-08,C060,Upasna Khosla,P019,Chips,Snacks,South,6,20,120,80.41,39.59,7,Out of Stock,3.6,Cash,Arjun
ORD0003,2025-06-22,C026,Lopa Arya,P018,Shampoo,Personal Care,South,7,280,1960,1620.17,339.83,266,In Stock,4.6,UPI,Neha
ORD0004,2025-02-18,C097,Tara Bail,P012,Soap,Personal Care,South,3,40,120,101.46,18.54,176,In Stock,3.7,UPI,Arjun
ORD0005,2025-01-08,C066,Bhavini Soman,P021,Tea,Beverages,West,8,220,1760,1288.05,471.95,9,Out of Stock,3.6,UPI,Ramesh
ORD0006,2025-11-19,C021,Ria Peri,P017,Cheese,Dairy,East,7,400,2800,2071.6,728.4,88,Low Stock,4.3,Cash,Kiran
ORD0007,2025-11-30,C073,Faris Amble,P002,Curd,Dairy,East,1,45,45,28.12,16.88,277,In Stock,3.5,UPI,Pooja
ORD0008,2025-05-04,C056,Reva Jayaraman,P003,Sugar,Groceries,South,4,50,200,167.63,32.37,79,Low Stock,4.0,Debit Card,Pooja
ORD0009,2025-09-10,C022,Netra Jani,P001,Notebook,Stationery,West,8,80,640,479.09,160.91,299,In Stock,4.3,UPI,Kiran
ORD0010,2025-08-12,C042,Nathan Kant,P019,Cookies,Snacks,East,3,80,240,157.05,82.95,240,In Stock,4.4,Debit Card,Ramesh
ORD0011,2025-06-09,C089,Maya Handa,P016,Juice,Beverages,South,3,90,270,216.42,53.58,37,Out of Stock,3.7,Cash,Priya
ORD0012,2025-09-27,C059,Laban Wali,P020,Pencil,Stationery,North,8,10,80,51.31,28.69,143,Low Stock,4.9,UPI,Priya
ORD0013,2025-11-14,C083,Kashvi Chad,P016,Face Wash,Personal Care,West,3,180,540,359.12,180.88,16,Out of Stock,4.3,Credit Card,Vikram
ORD0014,2025-02-08,C092,Zaid Sandal,P021,Soap,Personal Care,South,8,40,320,243.31,76.69,240,In Stock,3.7,Debit Card,Neha
ORD0015,2025-07-04,C067,Baljiwan Talwar,P024,Cake,Bakery,North,9,350,3150,2055.4,1094.6,188,In Stock,4.7,Credit Card,Kiran
